noise_level,r2,r2_clean,n_active,estimated_noise,strategy
0.0,0.999911701886191,0.9999976835095182,5,0.014397609265105615,gp
0.005,0.9841086064206449,0.997009570980745,5,0.01647753766572503,gp
0.01,0.9818194646596115,0.9898688889502472,5,0.01911002731326287,gp
0.02,0.9795650493383493,0.9812804571535937,5,0.02505394756181393,gp
0.03,0.972906839207767,0.9724826579681871,5,0.031704969246413764,gp
0.05,0.9523252852127327,0.9508250896624224,5,0.04631143436625461,gp
0.07,0.9479262519965241,0.9384577320689977,5,0.06178727240946004,gp
0.1,0.9321056494571826,0.9199429385799514,5,0.08541843702995343,gp
0.12,0.9057820642930053,0.9093935399883561,5,0.10105738967572706,gp
0.15,0.4374286902114334,0.8788612654982755,5,0.12462826638272737,weak
0.2,0.32789896816696973,0.8316006820966351,5,0.1637252303051792,weak
0.25,0.25218168890530146,0.7271515460367425,5,0.20223694425030628,weak
0.3,0.19988004872475107,0.5716279551763013,5,0.24028877746468869,weak
