noise_pct,method,coeff_V,coeff_SdVdS,coeff_S2d2VdS2,true_V,true_SdVdS,true_S2d2VdS2,rel_err_V,rel_err_SdVdS,rel_err_S2d2VdS2,max_rel_err,correct_structure
0.0,fd,0.04933184527129493,-0.05047719062212437,-0.020316372413199484,0.05,-0.05,-0.020000000000000004,0.013363094574101453,0.009543812442487365,0.015818620659974015,0.015818620659974015,False
0.005,fd,-0.06226390086976378,0.27289666840945237,0.0,0.05,-0.05,-0.020000000000000004,2.2452780173952758,6.457933368189047,1.0,6.457933368189047,False
0.01,fd,-0.07725037350124957,0.2800066450688433,0.0,0.05,-0.05,-0.020000000000000004,2.5450074700249914,6.600132901376866,1.0,6.600132901376866,False
0.02,fd,-0.11390808991730564,0.27388933137285415,0.0,0.05,-0.05,-0.020000000000000004,3.278161798346113,6.477786627457083,1.0,6.477786627457083,False
0.03,fd,-0.13979709986522254,0.24595835530866084,0.0,0.05,-0.05,-0.020000000000000004,3.7959419973044506,5.919167106173216,1.0,5.919167106173216,False
0.05,fd,-0.1644694927624578,0.16412431359693097,0.0,0.05,-0.05,-0.020000000000000004,4.289389855249156,4.282486271938619,1.0,4.289389855249156,False
0.07,fd,-0.1742956667993371,0.09379726767770963,0.0,0.05,-0.05,-0.020000000000000004,4.485913335986742,2.8759453535541923,1.0,4.485913335986742,False
0.1,fd,-0.17554349962483157,0.02561163591846837,0.0,0.05,-0.05,-0.020000000000000004,4.510869992496631,1.5122327183693673,1.0,4.510869992496631,False
0.12,fd,-0.1741245812212555,0.0,0.0,0.05,-0.05,-0.020000000000000004,4.482491624425109,1.0,1.0,4.482491624425109,False
0.15,fd,-0.16456641493344082,-0.029738818077249842,0.0,0.05,-0.05,-0.020000000000000004,4.291328298668816,0.4052236384550032,1.0,4.291328298668816,False
0.2,fd,-0.1480136001553278,-0.05456260059908997,0.0,0.05,-0.05,-0.020000000000000004,3.960272003106556,0.0912520119817993,1.0,3.960272003106556,False
0.25,fd,-0.13019323586226592,-0.06740972457057696,0.0,0.05,-0.05,-0.020000000000000004,3.6038647172453184,0.34819449141153924,1.0,3.6038647172453184,False
0.3,fd,-0.11675519846295077,-0.0755307177098372,0.0,0.05,-0.05,-0.020000000000000004,3.3351039692590154,0.510614354196744,1.0,3.3351039692590154,False
0.0,savgol,0.04724967528821131,-0.05217584993334563,-0.02073927695188706,0.05,-0.05,-0.020000000000000004,0.05500649423577392,0.04351699866691261,0.03696384759435278,0.05500649423577392,False
0.005,savgol,0.06535399235144065,-0.004330393714900796,-0.007147997158374135,0.05,-0.05,-0.020000000000000004,0.307079847028813,0.9133921257019841,0.6426001420812933,0.9133921257019841,False
0.01,savgol,0.04432705171610118,0.07469630268322715,0.0,0.05,-0.05,-0.020000000000000004,0.1134589656779765,2.4939260536645427,1.0,2.4939260536645427,False
0.02,savgol,0.0032550067394938463,0.16615714947334317,0.0037631624503052514,0.05,-0.05,-0.020000000000000004,0.9348998652101231,4.323142989466864,1.1881581225152626,4.323142989466864,False
