stage,runtime_seconds
Full pipeline,1391.3129979160149
PINN put,663.5066324580694
PINN training,663.4840253749862
PINN call,480.21013129199855
Neural architecture sweep,102.29554179194383
Baselines (clean),17.582034249906428
Derivative method comparison,13.578147916938178
Baselines (5% noise),12.104781083995476
neural noise=7.0%,5.482925625052303
neural noise=20.0%,5.4405201660702005
neural noise=25.0%,5.4211323340423405
neural noise=12.0%,5.3292590419296175
neural noise=15.0%,5.2732548750936985
neural noise=5.0%,5.219998375046998
neural noise=30.0%,5.207334666047245
neural noise=10.0%,5.198658125009388
neural noise=3.0%,5.149194792029448
neural noise=1.0%,5.08115658396855
neural noise=0.0%,5.078180874930695
neural noise=2.0%,5.067980958032422
neural noise=0.5%,5.058466457994655
Noise robustness,2.5208923750324175
Noise-smoothing matrix,0.984945832984522
Grid resolution vs noise,0.9378771670162678
Weak SINDy tuning,0.8486815000651404
Grid 200x200 clean+noisy,0.7762390839634463
Ablation experiments,0.6211095410399139
Bootstrap,0.6193485000403598
Parameter generalization,0.543391540995799
Real data experiment,0.4693525000475347
Library expansion experiment,0.3431774170603603
Smoothing ablation,0.3303178750211373
Crossover analysis,0.31522129103541374
IV regime analysis (SPY),0.29180741601157933
IV regime analysis (QQQ),0.25327237497549504
Heston slicing,0.23972629103809595
Library reduction experiment,0.14839641703292727
Merton experiment,0.13169304199982435
Grid 100x100 clean+noisy,0.12991408293601125
Expansion + noise experiment,0.12897737498860806
"noise=1.00% smooth=11,5",0.07420608308166265
Merton surface generation,0.07167795801069587
"noise=0.00% smooth=21,5",0.07146033295430243
"noise=5.00% smooth=11,5",0.07142270798794925
"noise=0.00% smooth=11,5",0.06850162497721612
SINDy smoothing=None,0.06809008296113461
"noise=0.00% smooth=7,3",0.06512287491932511
Slice v=0.0100,0.06340416695456952
"noise=1.00% smooth=7,3",0.06288562505505979
"noise=1.00% smooth=21,5",0.062310833018273115
"noise=10.00% smooth=11,5",0.06216679199133068
"noise=5.00% smooth=21,5",0.062141875037923455
"noise=10.00% smooth=7,3",0.06015391694381833
noise=10.00% smooth=None,0.05989637493621558
noise=1.00% smooth=None,0.058958582929335535
noise=0.00% smooth=None,0.05836450005881488
SINDy discovery on Merton data,0.05773729202337563
Slice v=0.0400,0.05545895895920694
"SINDy smoothing=5,3",0.05404745799023658
"noise=5.00% smooth=7,3",0.0491495419992134
noise=5.00% smooth=None,0.04898466600570828
"SINDy smoothing=7,3",0.04647449997719377
Slice v=0.0200,0.04551299999002367
"noise=10.00% smooth=21,5",0.04354450001846999
Slice v=0.0800,0.04154545802157372
"SINDy smoothing=11,3",0.03957945900037885
"SINDy smoothing=21,5",0.03945504198782146
"SINDy smoothing=11,5",0.03930462501011789
"SINDy smoothing=15,5",0.03921499999705702
SINDy PUT,0.03442137502133846
SINDy CALL,0.0333826249698177
Slice v=0.1600,0.03290170896798372
adaptive noise=15.0%,0.025490208994597197
adaptive noise=5.0%,0.024949084036052227
adaptive noise=25.0%,0.024698249995708466
adaptive noise=20.0%,0.023031207965686917
adaptive noise=12.0%,0.022791167022660375
adaptive noise=3.0%,0.022767000016756356
adaptive noise=30.0%,0.02251599996816367
weak noise=7.0%,0.022338125039823353
adaptive noise=10.0%,0.022158124949783087
adaptive noise=7.0%,0.02209108299575746
weak noise=3.0%,0.021846375078894198
weak noise=0.5%,0.020876666996628046
weak noise=15.0%,0.020671874983236194
weak noise=30.0%,0.020646125078201294
weak noise=5.0%,0.020619833027012646
weak noise=10.0%,0.020512792048975825
weak noise=0.0%,0.020446457900106907
weak noise=1.0%,0.02042487496510148
weak noise=25.0%,0.02011762501206249
weak noise=12.0%,0.020078124944120646
Grid 50x50 clean+noisy,0.02004750003106892
weak noise=2.0%,0.02001158392522484
weak noise=20.0%,0.01978774997405708
adaptive noise=1.0%,0.01858183299191296
SINDy reduced CALL,0.017998791998252273
fd noise=30.0%,0.017786249984055758
adaptive noise=0.5%,0.017119124997407198
adaptive noise=0.0%,0.014897958026267588
adaptive noise=2.0%,0.014123500091955066
fd noise=3.0%,0.014111625030636787
savgol noise=20.0%,0.013403417076915503
savgol noise=25.0%,0.013374540954828262
fd noise=0.5%,0.013226333074271679
savgol noise=0.5%,0.012978499988093972
savgol noise=30.0%,0.012802166980691254
fd noise=15.0%,0.012276250054128468
savgol noise=12.0%,0.012252375017851591
savgol noise=7.0%,0.012072708923369646
savgol noise=3.0%,0.012021334026940167
savgol noise=5.0%,0.011938125011511147
savgol noise=15.0%,0.011747667100280523
fd noise=20.0%,0.011745500029064715
fd noise=7.0%,0.011560250073671341
savgol noise=10.0%,0.011548415990546346
fd noise=2.0%,0.011404708959162235
savgol noise=2.0%,0.011315291980281472
savgol noise=1.0%,0.011287499917671084
fd noise=10.0%,0.0111317919800058
fd noise=1.0%,0.010978540987707675
fd noise=5.0%,0.0109655000269413
Grid 30x30 clean+noisy,0.010888000018894672
fd noise=12.0%,0.010718250065110624
fd noise=25.0%,0.01066299993544817
savgol noise=0.0%,0.010635541984811425
fd noise=0.0%,0.009932624991051853
SINDy on real data (AAPL),0.0058909590588882565
SINDy on real data (MSFT),0.0056822499027475715
SINDy on real data (SPY),0.005681666894815862
SINDy on real data (QQQ),0.005391874932684004
Residual analysis,0.001530374982394278
