model,fold,R2_train,R2_test,n_train,n_test,coef_dCdk,coef_d2Cdk2,mean_R2_test,std_R2_test
linear_dupire_2term,0,0.2857002417295128,0.30227864398841087,480,120,-0.14365073180143517,0.002124512358095391,0.28914769514397387,0.036598745311517224
linear_dupire_2term,1,0.2775755110199889,0.34920615742856786,480,120,-0.14188242542637547,0.002741802576407546,0.28914769514397387,0.036598745311517224
linear_dupire_2term,2,0.2873238337577082,0.2905073648500126,480,120,-0.14260802760856114,0.00305988339346684,0.28914769514397387,0.036598745311517224
linear_dupire_2term,3,0.29796271692769927,0.26015773842011125,480,120,-0.1397699296575644,0.0017152145935893242,0.28914769514397387,0.036598745311517224
linear_dupire_2term,4,0.30165881889078106,0.243588571032767,480,120,-0.14244109280232894,0.002390833380134879,0.28914769514397387,0.036598745311517224
kan_dupire_21,0,0.5774848791577318,0.5137479972663395,480,120,,,0.496313765074799,0.06468963324289125
kan_dupire_21,1,0.5212822880681549,0.5264734879280474,480,120,,,0.496313765074799,0.06468963324289125
kan_dupire_21,2,0.5460852400713357,0.5924603643221241,480,120,,,0.496313765074799,0.06468963324289125
kan_dupire_21,3,0.6302517531985223,0.4162173135482097,480,120,,,0.496313765074799,0.06468963324289125
kan_dupire_21,4,0.59760539521208,0.43266966230927495,480,120,,,0.496313765074799,0.06468963324289125
