noise_level,r2,r2_clean,n_active,bic,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4
0.0,0.8784415452271519,0.8668048788883058,5,-591.7062116301224,0.20391730915690529,4.928943012619081,-177.88304810779502,-0.14076681806551086,0.009085919168748135
0.005,0.8807576148589007,0.8664154935365738,5,-617.2079496909732,0.1614596483551679,6.950465289693027,-155.91288212690927,-0.14587735052942394,0.004685329815597034
0.01,0.882350802717417,0.8573107547798751,4,-642.9540873760672,0.11582282657959739,8.998814070131104,-132.16935596810987,-0.15036312965638146,0.0
0.02,0.8852045451193924,0.8112735439359221,5,-672.3064952963573,0.02091604542301421,13.063585905415446,-82.37465661271146,-0.15805167537654244,-0.009693855590448018
0.03,0.8880122825157561,0.7392394474661257,5,-713.3640757665237,-0.06447730181621862,16.64640375746133,-36.63063019661582,-0.16423382768848196,-0.01845657546918292
0.05,0.8949627280705132,0.5573905698971843,5,-823.2694744906021,-0.20624525133193966,22.575845032713527,42.92844542078348,-0.17392953819502713,-0.03329184607327632
0.07,0.9014784465001878,0.36925102476798455,5,-943.9884113552648,-0.31223873003524666,27.249006857763952,105.66261205589107,-0.18248768197361154,-0.04471582014720851
0.1,0.9117746513981402,0.1190250954891019,5,-1157.1528373777232,-0.4186344425552625,32.97462399358049,175.85109289160707,-0.19812104720786433,-0.057159057236727574
0.12,0.9184639240808943,-0.01993663558101666,5,-1314.6700976563113,-0.4657629022064744,36.13882564248033,210.8201579076219,-0.20914839602381702,-0.0632080856494618
0.15,0.927244997216897,-0.20683002297883069,5,-1550.8104499713472,-0.514642265061538,40.62146575411926,252.4233708434003,-0.22881047482404124,-0.07039040666478777
0.2,0.9394558686411283,-0.4338674981020425,5,-1938.9493948342529,-0.5530197080380652,46.36927620449486,297.7863134237802,-0.2580427730826609,-0.07813089012692849
0.25,0.9498680471892856,-0.8002424164521629,5,-2291.7784878604166,-0.6259316089945909,53.45853994707454,356.09167941411766,-0.2883454314883141,-0.08932045917532759
0.3,0.9588657869531252,-1.0674849702323406,5,-2703.6613853637314,-0.6288468565551084,58.68406777017263,388.52646287032223,-0.3193147097481481,-0.09506026792247375
