strike,expiration,tau,bid,ask,mid_price,implied_vol,volume,openInterest,S0,r
390.0,2026-06-05,0.03559206023271732,29.35,31.5,30.425,0.38867798828125,59.0,282,418.57000732421875,0.035850000381469724
405.0,2026-06-05,0.03559206023271732,16.95,18.05,17.5,0.30487755676269535,55.0,717,418.57000732421875,0.035850000381469724
410.0,2026-06-05,0.03559206023271732,13.65,14.2,13.925,0.28711650390624993,171.0,890,418.57000732421875,0.035850000381469724
415.0,2026-06-05,0.03559206023271732,10.55,11.1,10.825,0.28266098205566403,224.0,957,418.57000732421875,0.035850000381469724
420.0,2026-06-05,0.03559206023271732,8.0,8.35,8.175,0.2761913201904296,1532.0,2446,418.57000732421875,0.035850000381469724
425.0,2026-06-05,0.03559206023271732,5.95,6.15,6.050000000000001,0.2732006274414062,969.0,3112,418.57000732421875,0.035850000381469724
430.0,2026-06-05,0.03559206023271732,4.35,4.5,4.425,0.274421318359375,1064.0,3081,418.57000732421875,0.035850000381469724
435.0,2026-06-05,0.03559206023271732,3.1,3.3,3.2,0.2788158056640625,2370.0,7494,418.57000732421875,0.035850000381469724
440.0,2026-06-05,0.03559206023271732,2.25,2.4,2.325,0.2836985693359374,963.0,2212,418.57000732421875,0.035850000381469724
445.0,2026-06-05,0.03559206023271732,1.63,1.75,1.69,0.28967995483398434,585.0,733,418.57000732421875,0.035850000381469724
450.0,2026-06-05,0.03559206023271732,1.14,1.26,1.2,0.29505099487304687,707.0,3097,418.57000732421875,0.035850000381469724
455.0,2026-06-05,0.03559206023271732,0.86,0.96,0.9099999999999999,0.3048165222167969,173.0,639,418.57000732421875,0.035850000381469724
460.0,2026-06-05,0.03559206023271732,0.59,0.72,0.655,0.3129951513671875,791.0,1798,418.57000732421875,0.035850000381469724
465.0,2026-06-05,0.03559206023271732,0.48,0.55,0.515,0.3220282641601562,198.0,812,418.57000732421875,0.035850000381469724
470.0,2026-06-05,0.03559206023271732,0.29,0.42,0.355,0.3305731005859375,311.0,5881,418.57000732421875,0.035850000381469724
475.0,2026-06-05,0.03559206023271732,0.29,0.34,0.315,0.34180345703125,110.0,5591,418.57000732421875,0.035850000381469724
480.0,2026-06-05,0.03559206023271732,0.23,0.26,0.245,0.34961587890624996,421.0,10355,418.57000732421875,0.035850000381469724
490.0,2026-06-05,0.03559206023271732,0.12,0.25,0.185,0.39063109375,71.0,204,418.57000732421875,0.035850000381469724
500.0,2026-06-05,0.03559206023271732,0.1,0.2,0.15000000000000002,0.4184628466796875,106.0,2735,418.57000732421875,0.035850000381469724
415.0,2026-06-12,0.05475701574264202,12.9,13.35,13.125,0.28778788391113275,342.0,716,418.57000732421875,0.035850000381469724
420.0,2026-06-12,0.05475701574264202,10.3,10.65,10.475000000000001,0.28290512023925773,747.0,1130,418.57000732421875,0.035850000381469724
425.0,2026-06-12,0.05475701574264202,8.2,8.5,8.35,0.28321029296874994,1069.0,1331,418.57000732421875,0.035850000381469724
430.0,2026-06-12,0.05475701574264202,6.4,6.7,6.550000000000001,0.28388167297363276,374.0,1238,418.57000732421875,0.035850000381469724
435.0,2026-06-12,0.05475701574264202,4.95,5.25,5.1,0.2858347784423828,337.0,546,418.57000732421875,0.035850000381469724
440.0,2026-06-12,0.05475701574264202,3.75,4.05,3.9,0.2872385729980468,401.0,1515,418.57000732421875,0.035850000381469724
445.0,2026-06-12,0.05475701574264202,2.89,3.2,3.045,0.29267064758300776,88.0,475,418.57000732421875,0.035850000381469724
450.0,2026-06-12,0.05475701574264202,2.18,2.49,2.335,0.2967599621582031,697.0,1051,418.57000732421875,0.035850000381469724
455.0,2026-06-12,0.05475701574264202,1.74,1.98,1.8599999999999999,0.303168589477539,200.0,755,418.57000732421875,0.035850000381469724
460.0,2026-06-12,0.05475701574264202,1.38,1.63,1.505,0.31238480590820306,229.0,667,418.57000732421875,0.035850000381469724
465.0,2026-06-12,0.05475701574264202,1.12,1.31,1.215,0.31909860595703116,176.0,597,418.57000732421875,0.035850000381469724
470.0,2026-06-12,0.05475701574264202,0.91,1.0,0.9550000000000001,0.3217841259765625,5271.0,535,418.57000732421875,0.035850000381469724
475.0,2026-06-12,0.05475701574264202,0.61,0.92,0.765,0.33777517700195314,231.0,395,418.57000732421875,0.035850000381469724
480.0,2026-06-12,0.05475701574264202,0.58,0.68,0.63,0.33777517700195314,62.0,461,418.57000732421875,0.035850000381469724
500.0,2026-06-12,0.05475701574264202,0.26,0.32,0.29000000000000004,0.366217275390625,157.0,548,418.57000732421875,0.035850000381469724
395.0,2026-06-18,0.07118412046543464,27.45,29.2,28.325,0.32776551147460936,62.0,3036,418.57000732421875,0.035850000381469724
400.0,2026-06-18,0.07118412046543464,24.05,25.0,24.525,0.31012652770996096,254.0,8840,418.57000732421875,0.035850000381469724
405.0,2026-06-18,0.07118412046543464,20.5,21.35,20.925,0.3020699676513672,54.0,4618,418.57000732421875,0.035850000381469724
410.0,2026-06-18,0.07118412046543464,17.35,18.15,17.75,0.2988656539916992,389.0,5960,418.57000732421875,0.035850000381469724
415.0,2026-06-18,0.07118412046543464,14.55,15.1,14.825,0.29279271667480455,916.0,10972,418.57000732421875,0.035850000381469724
420.0,2026-06-18,0.07118412046543464,12.05,12.25,12.15,0.2847361566162109,5376.0,30956,418.57000732421875,0.035850000381469724
425.0,2026-06-18,0.07118412046543464,9.85,10.05,9.95,0.28436994934082027,2346.0,8375,418.57000732421875,0.035850000381469724
430.0,2026-06-18,0.07118412046543464,8.0,8.1,8.05,0.2829661547851562,2411.0,16867,418.57000732421875,0.035850000381469724
435.0,2026-06-18,0.07118412046543464,6.4,6.6,6.5,0.2856211575317382,915.0,9101,418.57000732421875,0.035850000381469724
440.0,2026-06-18,0.07118412046543464,5.15,5.35,5.25,0.28852029846191396,3037.0,11658,418.57000732421875,0.035850000381469724
445.0,2026-06-18,0.07118412046543464,4.15,4.35,4.25,0.2924875439453124,1954.0,10393,418.57000732421875,0.035850000381469724
450.0,2026-06-18,0.07118412046543464,3.3,3.4,3.3499999999999996,0.29242650939941395,10568.0,41419,418.57000732421875,0.035850000381469724
455.0,2026-06-18,0.07118412046543464,2.66,2.92,2.79,0.30286341674804684,224.0,7993,418.57000732421875,0.035850000381469724
460.0,2026-06-18,0.07118412046543464,2.19,2.38,2.285,0.3075630767822265,1115.0,15190,418.57000732421875,0.035850000381469724
465.0,2026-06-18,0.07118412046543464,1.76,1.89,1.825,0.31000445861816406,516.0,4639,418.57000732421875,0.035850000381469724
470.0,2026-06-18,0.07118412046543464,1.46,1.51,1.4849999999999999,0.31323928955078123,1711.0,10524,418.57000732421875,0.035850000381469724
475.0,2026-06-18,0.07118412046543464,1.2,1.29,1.245,0.3215399877929687,305.0,6427,418.57000732421875,0.035850000381469724
480.0,2026-06-18,0.07118412046543464,1.01,1.06,1.0350000000000001,0.3266668896484375,3649.0,101881,418.57000732421875,0.035850000381469724
485.0,2026-06-18,0.07118412046543464,0.83,0.91,0.87,0.33447931152343746,645.0,6308,418.57000732421875,0.035850000381469724
490.0,2026-06-18,0.07118412046543464,0.7,0.77,0.735,0.34107104248046877,355.0,3920,418.57000732421875,0.035850000381469724
495.0,2026-06-18,0.07118412046543464,0.59,0.68,0.635,0.34998208618164056,58.0,2068,418.57000732421875,0.035850000381469724
500.0,2026-06-18,0.07118412046543464,0.51,0.56,0.535,0.3541324353027343,1481.0,25808,418.57000732421875,0.035850000381469724
505.0,2026-06-18,0.07118412046543464,0.42,0.49,0.45499999999999996,0.3618227880859375,113.0,1837,418.57000732421875,0.035850000381469724
520.0,2026-06-18,0.07118412046543464,0.25,0.34,0.29500000000000004,0.38477177734374995,453.0,9215,418.57000732421875,0.035850000381469724
415.0,2026-06-26,0.09308692676249145,16.15,17.0,16.575,0.2942575457763671,211.0,219,418.57000732421875,0.035850000381469724
420.0,2026-06-26,0.09308692676249145,13.5,14.25,13.875,0.28876443664550777,231.0,522,418.57000732421875,0.035850000381469724
425.0,2026-06-26,0.09308692676249145,11.55,11.8,11.675,0.2839732247924803,272.0,351,418.57000732421875,0.035850000381469724
430.0,2026-06-26,0.09308692676249145,9.7,10.0,9.85,0.2868113311767577,892.0,568,418.57000732421875,0.035850000381469724
435.0,2026-06-26,0.09308692676249145,8.0,8.45,8.225,0.28992409301757804,532.0,1589,418.57000732421875,0.035850000381469724
440.0,2026-06-26,0.09308692676249145,6.6,6.9,6.75,0.28833719482421866,2858.0,656,418.57000732421875,0.035850000381469724
445.0,2026-06-26,0.09308692676249145,5.35,5.75,5.55,0.2910227148437499,102.0,358,418.57000732421875,0.035850000381469724
450.0,2026-06-26,0.09308692676249145,4.5,5.0,4.75,0.29944548217773437,986.0,1182,418.57000732421875,0.035850000381469724
455.0,2026-06-26,0.09308692676249145,3.65,4.0,3.825,0.297736514892578,73.0,298,418.57000732421875,0.035850000381469724
460.0,2026-06-26,0.09308692676249145,3.05,3.4,3.2249999999999996,0.3032906585693359,220.0,884,418.57000732421875,0.035850000381469724
465.0,2026-06-26,0.09308692676249145,2.51,2.88,2.695,0.3083565258789062,53.0,237,418.57000732421875,0.035850000381469724
470.0,2026-06-26,0.09308692676249145,2.11,2.39,2.25,0.31140825317382803,123.0,852,418.57000732421875,0.035850000381469724
480.0,2026-06-26,0.09308692676249145,1.52,1.67,1.595,0.3188544677734374,58.0,357,418.57000732421875,0.035850000381469724
485.0,2026-06-26,0.09308692676249145,1.27,1.41,1.3399999999999999,0.32330998962402335,86.0,376,418.57000732421875,0.035850000381469724
490.0,2026-06-26,0.09308692676249145,1.11,1.22,1.165,0.3293524096679687,68.0,223,418.57000732421875,0.035850000381469724
500.0,2026-06-26,0.09308692676249145,0.82,0.9,0.86,0.33960621337890623,300.0,856,418.57000732421875,0.035850000381469724
