strike,expiration,tau,bid,ask,mid_price,implied_vol,volume,openInterest,S0,r
530.0,2026-04-10,0.03285420944558522,36.17,39.13,37.650000000000006,0.4485528778076171,175.0,114,562.5800170898438,0.03607000112533569
540.0,2026-04-10,0.03285420944558522,27.1,31.0,29.05,0.4201412966918946,428.0,318,562.5800170898438,0.03607000112533569
555.0,2026-04-10,0.03285420944558522,17.83,20.42,19.125,0.38873902282714845,125.0,168,562.5800170898438,0.03607000112533569
560.0,2026-04-10,0.03285420944558522,14.78,15.04,14.91,0.3244696459960937,124.0,117,562.5800170898438,0.03607000112533569
570.0,2026-04-10,0.03285420944558522,9.4,9.73,9.565000000000001,0.3074410076904296,2857.0,543,562.5800170898438,0.03607000112533569
575.0,2026-04-10,0.03285420944558522,7.2,7.52,7.359999999999999,0.29849944671630857,1893.0,474,562.5800170898438,0.03607000112533569
576.0,2026-04-10,0.03285420944558522,6.8,7.11,6.955,0.29651582397460935,84.0,201,562.5800170898438,0.03607000112533569
577.0,2026-04-10,0.03285420944558522,6.42,6.72,6.57,0.2947458221435546,172.0,133,562.5800170898438,0.03607000112533569
578.0,2026-04-10,0.03285420944558522,6.04,6.35,6.195,0.29315892395019527,704.0,160,562.5800170898438,0.03607000112533569
579.0,2026-04-10,0.03285420944558522,5.68,5.98,5.83,0.2912058184814452,130.0,156,562.5800170898438,0.03607000112533569
580.0,2026-04-10,0.03285420944558522,5.33,5.63,5.48,0.289496851196289,2369.0,816,562.5800170898438,0.03607000112533569
581.0,2026-04-10,0.03285420944558522,5.0,5.29,5.145,0.28766581481933584,177.0,209,562.5800170898438,0.03607000112533569
582.0,2026-04-10,0.03285420944558522,4.67,4.96,4.8149999999999995,0.2857127093505859,100.0,304,562.5800170898438,0.03607000112533569
583.0,2026-04-10,0.03285420944558522,4.37,4.65,4.51,0.28400374206542955,124.0,202,562.5800170898438,0.03607000112533569
584.0,2026-04-10,0.03285420944558522,4.14,4.35,4.244999999999999,0.282233740234375,986.0,588,562.5800170898438,0.03607000112533569
585.0,2026-04-10,0.03285420944558522,3.8,4.07,3.935,0.28064684204101553,1366.0,1030,562.5800170898438,0.03607000112533569
586.0,2026-04-10,0.03285420944558522,3.58,3.79,3.685,0.2786937365722656,278.0,243,562.5800170898438,0.03607000112533569
587.0,2026-04-10,0.03285420944558522,3.32,3.53,3.425,0.27698476928710936,134.0,384,562.5800170898438,0.03607000112533569
588.0,2026-04-10,0.03285420944558522,3.02,3.28,3.15,0.27521476745605467,177.0,292,562.5800170898438,0.03607000112533569
589.0,2026-04-10,0.03285420944558522,2.79,3.04,2.915,0.2733837310791015,154.0,178,562.5800170898438,0.03607000112533569
590.0,2026-04-10,0.03285420944558522,2.62,2.81,2.715,0.2714306256103516,3079.0,1744,562.5800170898438,0.03607000112533569
591.0,2026-04-10,0.03285420944558522,2.41,2.6,2.505,0.26984372741699214,382.0,303,562.5800170898438,0.03607000112533569
592.0,2026-04-10,0.03285420944558522,2.16,2.4,2.2800000000000002,0.26819579467773436,370.0,1269,562.5800170898438,0.03607000112533569
593.0,2026-04-10,0.03285420944558522,2.03,2.21,2.12,0.2664868273925781,243.0,663,562.5800170898438,0.03607000112533569
594.0,2026-04-10,0.03285420944558522,1.83,2.01,1.92,0.26392337646484376,285.0,462,562.5800170898438,0.03607000112533569
595.0,2026-04-10,0.03285420944558522,1.69,1.86,1.775,0.2629468237304688,4196.0,2428,562.5800170898438,0.03607000112533569
596.0,2026-04-10,0.03285420944558522,1.51,1.7,1.605,0.2612378564453125,474.0,815,562.5800170898438,0.03607000112533569
597.0,2026-04-10,0.03285420944558522,1.37,1.55,1.46,0.2594068200683594,53.0,858,562.5800170898438,0.03607000112533569
598.0,2026-04-10,0.03285420944558522,1.24,1.41,1.325,0.2576978527832031,1106.0,385,562.5800170898438,0.03607000112533569
599.0,2026-04-10,0.03285420944558522,1.14,1.28,1.21,0.25592785095214843,185.0,430,562.5800170898438,0.03607000112533569
600.0,2026-04-10,0.03285420944558522,1.05,1.09,1.07,0.25025163818359375,2968.0,5016,562.5800170898438,0.03607000112533569
601.0,2026-04-10,0.03285420944558522,0.93,1.05,0.99,0.25269302001953126,78.0,323,562.5800170898438,0.03607000112533569
602.0,2026-04-10,0.03285420944558522,0.85,0.95,0.8999999999999999,0.2512281909179687,100.0,725,562.5800170898438,0.03607000112533569
603.0,2026-04-10,0.03285420944558522,0.75,0.84,0.7949999999999999,0.2485426708984375,155.0,763,562.5800170898438,0.03607000112533569
604.0,2026-04-10,0.03285420944558522,0.62,0.76,0.69,0.2474440490722656,251.0,420,562.5800170898438,0.03607000112533569
605.0,2026-04-10,0.03285420944558522,0.6,0.69,0.645,0.24658956542968752,1744.0,2214,562.5800170898438,0.03607000112533569
606.0,2026-04-10,0.03285420944558522,0.52,0.61,0.565,0.24451439086914065,173.0,808,562.5800170898438,0.03607000112533569
607.0,2026-04-10,0.03285420944558522,0.47,0.55,0.51,0.24353783813476562,458.0,976,562.5800170898438,0.03607000112533569
608.0,2026-04-10,0.03285420944558522,0.41,0.46,0.435,0.23926541992187497,112.0,6731,562.5800170898438,0.03607000112533569
609.0,2026-04-10,0.03285420944558522,0.37,0.44,0.405,0.241218525390625,60.0,398,562.5800170898438,0.03607000112533569
610.0,2026-04-10,0.03285420944558522,0.34,0.36,0.35,0.23633576171874998,1954.0,3616,562.5800170898438,0.03607000112533569
612.0,2026-04-10,0.03285420944558522,0.26,0.3,0.28,0.23657989990234374,443.0,691,562.5800170898438,0.03607000112533569
613.0,2026-04-10,0.03285420944558522,0.23,0.27,0.25,0.23609162353515623,157.0,261,562.5800170898438,0.03607000112533569
614.0,2026-04-10,0.03285420944558522,0.2,0.24,0.22,0.23535920898437498,100.0,929,562.5800170898438,0.03607000112533569
615.0,2026-04-10,0.03285420944558522,0.18,0.21,0.195,0.23389437988281248,342.0,1880,562.5800170898438,0.03607000112533569
617.0,2026-04-10,0.03285420944558522,0.14,0.18,0.16,0.23535920898437498,91.0,494,562.5800170898438,0.03607000112533569
618.0,2026-04-10,0.03285420944558522,0.12,0.16,0.14,0.2348709326171875,66.0,387,562.5800170898438,0.03607000112533569
620.0,2026-04-10,0.03285420944558522,0.09,0.13,0.11,0.2348709326171875,837.0,2877,562.5800170898438,0.03607000112533569
621.0,2026-04-10,0.03285420944558522,0.08,0.12,0.1,0.23535920898437498,73.0,385,562.5800170898438,0.03607000112533569
622.0,2026-04-10,0.03285420944558522,0.07,0.11,0.09,0.23584748535156247,337.0,658,562.5800170898438,0.03607000112533569
623.0,2026-04-10,0.03285420944558522,0.07,0.1,0.085,0.23633576171874998,112.0,4449,562.5800170898438,0.03607000112533569
624.0,2026-04-10,0.03285420944558522,0.02,0.1,0.060000000000000005,0.23926541992187497,108.0,675,562.5800170898438,0.03607000112533569
625.0,2026-04-10,0.03285420944558522,0.06,0.09,0.075,0.23926541992187497,1470.0,3608,562.5800170898438,0.03607000112533569
627.0,2026-04-10,0.03285420944558522,0.02,0.09,0.055,0.2456130126953125,320.0,923,562.5800170898438,0.03607000112533569
640.0,2026-04-10,0.03285420944558522,0.03,0.06,0.045,0.27246821289062495,121.0,7333,562.5800170898438,0.03607000112533569
