n_functions,width_factor,width_S,width_t,r2_clean,r2_noisy,max_coeff_err,mean_coeff_err,correct_structure,n_active,condition_number,time_s
30,5,20.0,0.198,-1095.0220092325324,0.8272496463295513,247.97364123722866,91.49863563289658,False,5,522447.2600241254,0.005673750303685665
30,8,12.5,0.12375,0.8953928833801185,0.9744474627583266,7.2300933329504495,4.096091670299713,False,5,712163.9676321575,0.005775458179414272
30,10,10.0,0.099,0.8559259458495097,0.9693800603498975,2.1865040939985114,1.3851873625305213,False,4,177917.70818160663,0.005683000199496746
30,15,6.666666666666667,0.066,0.8125573341200691,0.978412780533406,1.7182291815924817,1.2394097271974938,False,3,58885.95869492744,0.005659791640937328
30,20,5.0,0.0495,0.9118705031136197,0.938063675864871,4.290140827785787,2.027242866375108,False,5,64605.903887197695,0.005689375102519989
50,5,20.0,0.198,-543.2380328441604,0.821226024087977,187.8209241073951,73.81384623711641,False,5,628563.5600090779,0.007434915751218796
50,8,12.5,0.12375,0.8533063324168894,0.9775398513562523,7.81590417691584,4.442804627918051,False,5,715407.6077538043,0.00774262472987175
50,10,10.0,0.099,0.9207667226231975,0.9803940290781471,5.430475761209979,2.636647195941261,False,5,166690.01114186077,0.007710124831646681
50,15,6.666666666666667,0.066,0.8804200826059405,0.9739968089513302,2.2995989585485965,1.2286425368809377,False,5,55091.298012137624,0.007835374679416418
50,20,5.0,0.0495,0.8308527625393531,0.9439182088386442,2.5543629051006365,1.4268414463548478,False,5,69060.33409705128,0.007867000065743923
100,5,20.0,0.198,-329.18539322569006,0.8003350819115549,158.42082116015345,73.42684428999756,False,5,613099.2535902538,0.012699582614004612
100,8,12.5,0.12375,0.8397844878805407,0.9775568430526199,7.8283784000757715,4.2608207863187255,False,5,681712.7744318472,0.013252249918878078
100,10,10.0,0.099,0.9287811909383451,0.9757093003670102,4.712085677923621,2.272911086575053,False,5,153036.2378588966,0.013325834181159735
100,15,6.666666666666667,0.066,0.9162952442515081,0.9680980931739243,4.20528167697119,1.9021997733065976,False,5,51152.1223110191,0.012887875083833933
100,20,5.0,0.0495,0.9010729936665699,0.9369214492595708,3.3848257984314776,1.9629302378869962,False,4,66403.45721284288,0.012824833858758211
150,5,20.0,0.198,-399.717835372738,0.8110984925517961,171.84048763229455,74.77496566561142,False,5,604535.1742063594,0.01776995789259672
150,8,12.5,0.12375,0.8398510405679294,0.9743154051131782,7.805142854015093,4.1211651650799155,False,5,695469.281006881,0.018240374978631735
150,10,10.0,0.099,0.9402947666583973,0.9743795777988393,4.30797258930514,2.2088485744624897,False,5,146284.5013247257,0.018113875295966864
150,15,6.666666666666667,0.066,0.7892223373608417,0.9609217216060034,1.0,0.8415793538910141,False,3,56518.118948530646,0.01803133310750127
150,20,5.0,0.0495,0.8618303443951332,0.9244163031133891,2.2772885185020573,1.2213440589527549,False,5,73087.064351288,0.018255750183016062
200,5,20.0,0.198,-512.4336985447674,0.7952783823909013,187.60341723847276,76.44429363898409,False,5,572784.2722069718,0.023765291552990675
200,8,12.5,0.12375,0.7174650503345521,0.9712457250875931,9.409452591080617,4.694927921341978,False,5,704617.1600387673,0.0282087498344481
200,10,10.0,0.099,0.9360335391080007,0.978650162502263,4.844398784914216,2.4987003994291097,False,5,143997.24756766902,0.02379512507468462
200,15,6.666666666666667,0.066,0.9225697375119075,0.9596313797572814,2.1493135484437706,1.413541902420026,False,5,56562.67670766563,0.023855708073824644
200,20,5.0,0.0495,0.9145025093061941,0.921522722658995,2.630759544990152,1.766566026924829,False,5,78584.305130546,0.023802375420928
300,5,20.0,0.198,-546.6076592663187,0.7937271178608085,195.17880316949302,79.28346354500114,False,5,519190.5783757412,0.03456658311188221
300,8,12.5,0.12375,0.8177567132028676,0.9734715286917063,8.224392799089332,4.244773359170508,False,5,675879.711371855,0.03451058408245444
300,10,10.0,0.099,0.938652693523622,0.97950019600436,4.622772484335047,2.38499415398781,False,5,142892.60052163783,0.03489954164251685
300,15,6.666666666666667,0.066,0.9328234934928074,0.9577133275954601,1.6321213023187526,1.4501566249725704,False,5,54898.04203565391,0.03501458326354623
300,20,5.0,0.0495,0.9191844927312564,0.9269532601278686,2.3751913401196667,1.8402139031247027,False,5,75222.06360761944,0.03460954176262021
